film_name,flag,link
Capturing the Killer Nurse (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9311069
The Desperate Hour (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311067
The Cellar (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311066
Project 'Gemini' (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311065
Clean (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9311062
"""The Queen's Umbrella"" Episode #1.10 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9310735
"""The Queen's Umbrella"" Episode #1.10 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9310730
Vesper (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309953
My Left Foot (1989),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309858
Mute Witness (1995),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309762
Die Another Day (2002),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309574
Never Say Never Again (1983),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309543
1917 (2019),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309534
"""The Queen's Umbrella"" Episode #1.9 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9309486
"""The Queen's Umbrella"" Episode #1.9 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309452
"""Marvel Studios: Assembled"" The Making of She-Hu... (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309161
"""Marvel Studios: Assembled"" The Making of Thor: ... (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9309085
The World Is Not Enough (1999),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308997
Tomorrow Never Dies (1997),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308994
Licence to Kill (1989),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308992
A View to a Kill (1985),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308990
Autumn Beat (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308791
Malcolm X (1992),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308398
Niagara (1953),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308395
"""1883"" 1883 (2021)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9308373
"""1883"" Behind Us, a Cliff (2021)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9308372
The Hunt for Red October (1990),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9308181
Octopussy (1983),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9307813
"""The Peripheral"" What About Bob? (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9307390
"""The Peripheral"" What About Bob? (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9307361
Pulp Fiction (1994),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9307359
Run Sweetheart Run (2020),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9307173
Reservoir Dogs (1992),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9307172
For Your Eyes Only (1981),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306421
Moonraker (1979),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306420
"""Kimi ni Todoke: From Me to You"" Daiji na hito (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306413
"""Kimi ni Todoke: From Me to You"" Matsuri no ato (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306412
"""Kimi ni Todoke: From Me to You"" Koko kara (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306411
"""Kimi ni Todoke: From Me to You"" Kokuhaku (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306410
"""Kimi ni Todoke: From Me to You"" Todoke (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306409
"""Kimi ni Todoke: From Me to You"" Akirame Chimae Yo (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306408
"""Kimi ni Todoke: From Me to You"" Koi to Meiwaku (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306407
"""Kimi ni Todoke: From Me to You"" Suki no hito (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306406
"""Kimi ni Todoke: From Me to You"" Wakattenai (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306405
"""Kimi ni Todoke: From Me to You"" Wasurete (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306404
"""Kimi ni Todoke: From Me to You"" 2-Nensei (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306403
"""Kimi ni Todoke: From Me to You"" Barentain (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306402
"""Kimi ni Todoke: From Me to You"" Kataomoi (2011)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306401
"""Kimi ni Todoke: From Me to You"" Shinnen (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306400
"""Kimi ni Todoke: From Me to You"" Tanjobi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306399
"""Kimi ni Todoke: From Me to You"" Futari (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306398
"""Kimi ni Todoke: From Me to You"" Kurisumasu (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306397
"""Kimi ni Todoke: From Me to You"" Hatsuyuki (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306396
"""Kimi ni Todoke: From Me to You"" Purezento (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306395
"""Kimi ni Todoke: From Me to You"" Yume (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306394
"""Kimi ni Todoke: From Me to You"" Chizuru no Koi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306393
"""Kimi ni Todoke: From Me to You"" Yasumi no hi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306392
"""Kimi ni Todoke: From Me to You"" Yobanashi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306391
"""Kimi ni Todoke: From Me to You"" Raibaru (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306390
"""Kimi ni Todoke: From Me to You"" Kurumi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306389
"""Kimi ni Todoke: From Me to You"" Koi (2010)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306388
"""Kimi ni Todoke: From Me to You"" Ren'ai Kanjo (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306387
"""Kimi ni Todoke: From Me to You"" Tokubetsu (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306386
"""Kimi ni Todoke: From Me to You"" Kyoryoku (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306385
"""Kimi ni Todoke: From Me to You"" Atarashii Tomod... (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306384
"""Kimi ni Todoke: From Me to You"" Jishuren (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306383
"""Kimi ni Todoke: From Me to You"" Doyo no Yoru (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306382
"""Kimi ni Todoke: From Me to You"" Tomodachi (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306381
"""Kimi ni Todoke: From Me to You"" Ketsui (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306380
"""Kimi ni Todoke: From Me to You"" Uwasa (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306379
"""Kimi ni Todoke: From Me to You"" Hokago (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306378
"""Kimi ni Todoke: From Me to You"" Sekigae (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306377
"""Kimi ni Todoke: From Me to You"" Puroroogu (2009)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306376
Alien: Resurrection (1997),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306345
U-571 (2000),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9306131
Trancers (1984),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9306014
Pursuit of the Graf Spee (1956),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9305980
The Spy Who Loved Me (1977),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304891
The Man with the Golden Gun (1974),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304800
Smile (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304777
"""The Queen's Umbrella"" Episode #1.8 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304738
"""The Queen's Umbrella"" Episode #1.7 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304737
"""The Queen's Umbrella"" Episode #1.8 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304723
"""The Queen's Umbrella"" Episode #1.7 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304722
The Big Boss (1971),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304658
"""Andor"" Episode #1.10 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9304545
Confidential Assignment 2: International (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304401
Wendell & Wild (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304339
The Curse of Bridge Hollow (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304338
Taylor Tomlinson: Look at You (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304337
Iliza Shlesinger: Hot Forever (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304335
Gabriel Iglesias: Stadium Fluffy (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9304332
Live and Let Die (1973),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9303881
Enola Holmes 2 (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303678
Enola Holmes 2 (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303675
All Quiet on the Western Front (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303669
Highlander (1986),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303538
Highlander (1986),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303535
Highlander (1986),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9303534
In the Valley of Elah (2007),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9303177
GoldenEye (1995),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9302868
The Power of the Dog (2021),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9302734
Overdose (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9302729
Pearl (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301941
"""Blockbuster"" Episode #1.10 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301883
"""Blockbuster"" Episode #1.9 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301882
"""Blockbuster"" Episode #1.8 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301880
"""Blockbuster"" Episode #1.7 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301877
"""Blockbuster"" Episode #1.6 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301876
"""Blockbuster"" Episode #1.5 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301875
"""Blockbuster"" Episode #1.4 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301874
"""Blockbuster"" Episode #1.3 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301873
"""Blockbuster"" Episode #1.2 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301872
"""Blockbuster"" Episode #1.1 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301871
The Faculty (1998),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301811
"""You"" Bluebeard's Castle (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301780
"""You"" Candace (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301779
"""You"" You Got Me, Babe (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301778
"""You"" Everythingship (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301777
"""You"" Amour Fou (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301776
"""You"" Living with the Enemy (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301775
"""You"" The Captain (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301774
"""You"" Maybe (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301773
"""You"" Pilot (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301772
"""You"" The Last Nice Guy In New York (2018)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301771
"""The Peripheral"" Jackpot (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9301751
"""The Peripheral"" Jackpot (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9301746
Project Wolf Hunting (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9300990
Pearl (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9300917
Smile (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9300404
"""Marvel Studios: Legends"" The Dora Milaje (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299831
"""Marvel Studios: Legends"" Princess Shuri (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299774
Game of Death (1978),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299755
"""Marvel Studios: Legends"" King T'Challa (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299740
Piggy (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299645
My Policeman (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299335
Casablanca (1942),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9299246
Raw Deal (1986),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9299245
Three Thousand Years of Longing (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9299242
Enola Holmes 2 (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9299190
Enola Holmes 2 (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299174
Halloween Ends (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9299033
Hot Blooded (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9299024
The Commando (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9297925
Halloween Ends (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9297765
The Takeover (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9297497
Avec amour et acharnement (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9297496
Catherine Called Birdy (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296329
Under Wraps 2 (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296314
Togo (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296312
It Came from Below (2021),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296307
Raw Deal (1986),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9296256
The Quatermass Xperiment (1955),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296221
Halloween Ends (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9296219
Hotel Rwanda (2004),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295944
Don't Worry Darling (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9295392
"""The Boys"" Here Comes a Candle to Light You to Bed (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9295329
JFK (1991),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295297
"""Dark"" Alpha und Omega (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295292
"""Dark"" Alles ist jetzt (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295291
"""Dark"" Was man sät, das wird man ernten (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295290
"""Dark"" Kreuzwege (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295289
"""Dark"" Sic Mundus Creatus Est (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295288
"""Dark"" Wahrheiten (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295287
"""Dark"" Doppelleben (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295286
"""Dark"" Gestern und heute (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295285
"""Dark"" Lügen (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295284
"""Dark"" Geheimnisse (2017)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9295283
Videodrome (1983),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9295178
El norte sobre el vacio (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9294480
Run Sweetheart Run (2020),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9294256
"""The Queen's Umbrella"" Episode #1.6 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9294163
"""The Queen's Umbrella"" Episode #1.6 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9294158
She Wore a Yellow Ribbon (1949),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293832
Nostalghia (1983),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293806
Charade (1963),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293719
"""Guillermo del Toro's Cabinet of Curiosities"" Th... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293699
"""Guillermo del Toro's Cabinet of Curiosities"" Th... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293697
"""Guillermo del Toro's Cabinet of Curiosities"" Dr... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293695
"""Guillermo del Toro's Cabinet of Curiosities"" Pi... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293679
Terrifier 2 (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293636
The Mark of Zorro (1940),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293503
"""The Queen's Umbrella"" Episode #1.5 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293342
"""The Queen's Umbrella"" Episode #1.4 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293341
"""The Queen's Umbrella"" Episode #1.3 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293340
"""The Queen's Umbrella"" Episode #1.2 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293339
"""The Queen's Umbrella"" Episode #1.1 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293338
"""The Queen's Umbrella"" Episode #1.5 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293319
"""The Queen's Umbrella"" Episode #1.4 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293317
"""The Queen's Umbrella"" Episode #1.3 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293316
"""The Queen's Umbrella"" Episode #1.2 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293315
"""The Queen's Umbrella"" Episode #1.1 (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9293314
"""The Bastard Son & The Devil Himself"" Episode #1.8 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293021
"""The Bastard Son & The Devil Himself"" Episode #1.7 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9293004
"""The Bastard Son & The Devil Himself"" Episode #1.6 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292987
"""The Bastard Son & The Devil Himself"" Episode #1.5 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292985
"""The Bastard Son & The Devil Himself"" Episode #1.4 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292969
"""The Bastard Son & The Devil Himself"" Episode #1.3 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292968
"""The Bastard Son & The Devil Himself"" Episode #1.2 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292967
"""The Bastard Son & The Devil Himself"" Episode #1.1 (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292966
Wendell & Wild (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292668
Wild Is the Wind (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292660
Robbing Mussolini (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292375
Beyond the Universe (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292350
"""The Law Cafe"" Love, According To The Law (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292277
"""The Law Cafe"" Promise, To Pledge and Bind (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292275
"""The Law Cafe"" The Day Of Joy Will Surely Come (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292273
"""The Law Cafe"" Even If Life Deceives You (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292271
"""The Law Cafe"" Between Love and Horror (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292270
"""The Law Cafe"" It Was Only You From The Start (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292269
"""The Law Cafe"" Brilliant Legacy (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292266
"""The Law Cafe"" Lies, Lies, Lies (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292264
"""The Law Cafe"" There Are Islands Between People (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292260
"""The Law Cafe"" Sin And Punishment (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292258
"""The Law Cafe"" Unfathomable (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292256
"""The Law Cafe"" Thoughts On The Legitimacy Of A K... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292253
"""The Law Cafe"" In The Name Of Family (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292252
"""The Law Cafe"" Fan-cident (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292251
"""The Law Cafe"" How to Love One Woman for 17 Years (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292250
"""The Law Cafe"" The Law Cafe (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9292248
Tall in the Saddle (1944),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292202
One-Eyed Jacks (1961),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9292082
The Family (2013),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9291947
Jesse James (1939),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9291453
Ticket to Paradise (2022),vi,https://www.opensubtitles.org/en/subtitleserve/sub/9291387
Cici (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9291349
All Quiet on the Western Front (2022),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9291347
October Sky (1999),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9291230
"""The Peripheral"" Haptic Drift (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290857
"""The Peripheral"" Haptic Drift (2022)",ja,https://www.opensubtitles.org/en/subtitleserve/sub/9290754
"""Survivor"" I'll Sign the Divorce Papers (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290647
"""Survivor"" Lovable Curmudgeon (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290646
"""Survivor"" LIVIN (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290645
Letters from Iwo Jima (2006),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9290604
Bend of the River (1952),ja,https://www.opensubtitles.org/en/subtitleserve/sub/9290085
"""Romantic Killer"" Last Story!? (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290047
"""Romantic Killer"" Just Tell Me if You Don't Like... (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290046
"""Romantic Killer"" Other Way Around, Dummy (2022)",vi,https://www.opensubtitles.org/en/subtitleserve/sub/9290045
